Id,Time
1410233955738,4
1410233955738,6
1410233955745,4
1410233955747,4
1410233955752,3
1410233955755,4
1410233955759,3
1410233955763,4
1410233955767,4
1410233955771,4
1410233955775,4
1410233955778,3
1410233955782,3
1410233955787,4
1410233955791,4
1410233955794,3
1410233955798,3
1410233955802,4
1410233955806,4
1410233955809,3
1410233955813,3
1410233955817,3
1410233955821,4
1410233955825,4
1410233955829,4
1410233955832,3
1410233955875,41
1410233955878,42
1410233955882,3
1410233955886,3
1410233955890,4
1410233955894,4
1410233955899,5
1410233955903,4
1410233955907,4
1410233955910,3
1410233955915,3
1410233955917,3
1410233955922,3
1410233955925,4
1410233955929,4
1410233955933,4
1410233955937,4
1410233955941,4
1410233955945,4
1410233955951,6
1410233955955,4
1410233955958,3
1410233955962,3
1410233955965,4
1410233955969,4
1410233955973,4
1410233955977,4
1410233955981,4
1410233955985,4
1410233955989,4
1410233955995,6
1410233955999,4
1410233956003,3
1410233956007,4
1410233956011,4
1410233956015,4
1410233956019,3
1410233956023,4
1410233956027,4
1410233956032,5
1410233956036,4
1410233956040,4
1410233956044,4
1410233956047,3
1410233956052,4
1410233956055,4
1410233956059,4
1410233956063,4
1410233956067,4
1410233956071,3
1410233956076,3
1410233956079,4
1410233956083,3
1410233956086,4
1410233956090,4
1410233956094,4
1410233956098,4
1410233956102,4
1410233956105,3
1410233956109,3
1410233956113,4
1410233956118,5
1410233956122,4
1410233956125,3
1410233956129,3
1410233956133,3
1410233956137,4
1410233956141,4
1410233956145,4
1410233956149,4
1410233956166,17
1410233956169,3
1410233956173,3
1410233956194,21
1410233956198,4
1410233956202,4
1410233956206,4
1410233956210,4
1410233956214,4
1410233956217,3
1410233956221,4
1410233956225,4
1410233956228,3
1410233956232,3
1410233956236,4
1410233956240,4
1410233956243,3
1410233956247,3
1410233956251,4
1410233956255,4
1410233956259,4
1410233956263,4
1410233956266,3
1410233956270,3
1410233956274,3
1410233956278,4
1410233956282,4
1410233956286,4
1410233956290,4
1410233956294,4
1410233956298,4
1410233956301,3
1410233956306,4
1410233956309,3
1410233956313,3
1410233956317,3
1410233956321,4
1410233956325,4
1410233956330,5
1410233956333,3
1410233956337,3
1410233956342,4
1410233956346,4
1410233956349,3
1410233956353,4
1410233956358,5
1410233956362,4
1410233956381,19
1410233956385,4
1410233956389,4
1410233956393,4
1410233956397,4
1410233956400,3
1410233956405,4
1410233956408,5
1410233956413,3
1410233956416,5
1410233956420,3
1410233956423,4
1410233956427,4
1410233956431,4
1410233956435,4
1410233956438,3
1410233956442,3
1410233956446,4
1410233956449,3
1410233956453,3
1410233956457,4
1410233956460,3
1410233956464,3
1410233956468,4
1410233956472,4
1410233956475,3
1410233956479,3
1410233956483,4
1410233956487,4
1410233956491,4
1410233956494,3
1410233956498,3
1410233956502,4
1410233956506,4
1410233956510,4
1410233956513,3
1410233956537,23
1410233956541,4
1410233956545,4
1410233956549,4
1410233956552,3
1410233956566,13
1410233956570,4
1410233956574,4
1410233956577,3
1410233956581,4
1410233956585,4
1410233956589,4
1410233956593,4
1410233956597,4
1410233956600,3
1410233956605,4
1410233956608,3
1410233956612,3
1410233956636,23
1410233956650,14
1410233956654,4
1410233956658,4
1410233956662,4
1410233956679,17
1410233956684,4
1410233956689,5
1410233956703,14
1410233956710,5
1410233956715,7
1410233956720,4
1410233956725,3
1410233956730,5
1410233956734,4
1410233956738,3
1410233956743,4
1410233956748,5
1410233956754,6
1410233956767,13
1410233956772,5
1410233956801,29
1410233956805,4
1410233956829,23
1410233956832,23
1410233956836,4
1410233956841,4
1410233956846,5
1410233956850,4
1410233956856,4
1410233956857,3
1410233956864,4
1410233956867,5
1410233956872,4
1410233956875,5
1410233956879,4
1410233956883,4
1410233956888,5
1410233956891,3
1410233956909,16
1410233956912,16
1410233956919,5
1410233956921,5
1410233956927,4
1410233956930,5
1410233956934,4
1410233956939,5
1410233956943,4
1410233956948,5
1410233956952,4
1410233956956,4
1410233956961,4
1410233956965,4
1410233956969,3
1410233956985,15
1410233956990,5
1410233956995,5
1410233956999,4
1410233957003,3
1410233957007,4
1410233957012,5
1410233957016,4
1410233957021,4
